id,name,code
yks_res_city_184,株洲市,412000
yks_res_city_185,湘潭市,411100
yks_res_city_186,衡阳市,421000
yks_res_city_187,邵阳市,422000
yks_res_city_188,岳阳市,414000
yks_res_city_189,常德市,415000
yks_res_city_190,张家界市,427000
yks_res_city_191,益阳市,413000
yks_res_city_192,郴州市,423000
yks_res_city_193,永州市,425000
yks_res_city_194,怀化市,418000
yks_res_city_195,娄底市,417000
yks_res_city_196,湘西土家族苗族自治州,416000
yks_res_city_197,广州市,510000
yks_res_city_198,韶关市,521000
yks_res_city_199,深圳市,518000
yks_res_city_200,珠海市,519000
yks_res_city_201,汕头市,515000
yks_res_city_202,佛山市,528000
yks_res_city_203,江门市,529000
yks_res_city_204,湛江市,524000
yks_res_city_205,茂名市,525000
yks_res_city_206,肇庆市,526000
yks_res_city_207,惠州市,516000
yks_res_city_208,梅州市,514000
yks_res_city_209,汕尾市,516600
yks_res_city_210,河源市,517000
yks_res_city_211,阳江市,529500
yks_res_city_212,清远市,511500
yks_res_city_213,东莞市,511700
yks_res_city_214,中山市,528400
yks_res_city_215,潮州市,515600
yks_res_city_216,揭阳市,522000
yks_res_city_217,云浮市,527300
yks_res_city_218,南宁市,530000
yks_res_city_219,柳州市,545000
yks_res_city_220,桂林市,541000
yks_res_city_221,梧州市,543000
yks_res_city_222,北海市,536000
yks_res_city_223,防城港市,538000
yks_res_city_224,钦州市,535000
yks_res_city_225,贵港市,537100
yks_res_city_226,玉林市,537000
yks_res_city_227,百色市,533000
yks_res_city_228,贺州市,542800
yks_res_city_229,河池市,547000
yks_res_city_230,来宾市,546100
yks_res_city_231,崇左市,532200
yks_res_city_232,海口市,570000
yks_res_city_233,三亚市,572000
yks_res_city_234,重庆市,400000
yks_res_city_235,成都市,610000
yks_res_city_236,自贡市,643000
yks_res_city_237,攀枝花市,617000
yks_res_city_238,泸州市,646100
yks_res_city_239,德阳市,618000
yks_res_city_240,绵阳市,621000
yks_res_city_241,广元市,628000
yks_res_city_242,遂宁市,629000
yks_res_city_243,内江市,641000
yks_res_city_244,乐山市,614000
yks_res_city_245,南充市,637000
yks_res_city_246,眉山市,612100
yks_res_city_247,宜宾市,644000
yks_res_city_248,广安市,638000
yks_res_city_249,达州市,635000
yks_res_city_250,雅安市,625000
yks_res_city_251,巴中市,635500
yks_res_city_252,资阳市,641300
yks_res_city_253,阿坝藏族羌族自治州,624600
yks_res_city_254,甘孜藏族自治州,626000
yks_res_city_255,凉山彝族自治州,615000
yks_res_city_256,贵阳市,55000
yks_res_city_257,六盘水市,553000
yks_res_city_258,遵义市,563000
yks_res_city_259,安顺市,561000
yks_res_city_260,铜仁地区,554300
yks_res_city_261,黔西南布依族苗族自治州,551500
yks_res_city_262,毕节地区,551700
yks_res_city_263,黔东南苗族侗族自治州,551500
yks_res_city_264,黔南布依族苗族自治州,550100
yks_res_city_265,昆明市,650000
yks_res_city_266,曲靖市,655000
yks_res_city_267,玉溪市,653100
yks_res_city_268,保山市,678000
yks_res_city_269,昭通市,657000
yks_res_city_270,丽江市,674100
yks_res_city_271,思茅市,665000
yks_res_city_272,临沧市,677000
