id	city	comment	mobile	date	is_company	state_id/id	title/id	ref	website	street	lang	zip	company_id/id	name	code	country/id	country_id/id	customer	function	tz	ean13	category_id/id	birthdate	phone	email	user_id/id	section_id/id
__export__.res_partner_delivery_yhd_003					True									DPD	24882												
__export__.res_partner_delivery_yhd_004					True									晋越	25492												
__export__.res_partner_delivery_yhd_005					True									中邮速递	25966												
__export__.res_partner_delivery_yhd_006					True									德国邮政	26360												
__export__.res_partner_delivery_yhd_007					True									上海邮政	24746												
__export__.res_partner_delivery_yhd_008					True									Bpost	24752												
__export__.res_partner_delivery_yhd_009					True									荷兰皇家邮政	26338												
__export__.res_partner_delivery_yhd_010					True									dhl快递	26384												
__export__.res_partner_delivery_yhd_011					True									AOL	25111												
__export__.res_partner_delivery_suning_001					True									AAE-中国	A01												
__export__.res_partner_delivery_suning_002					True									BHT	B01												
__export__.res_partner_delivery_suning_003					True									百福东方	B02												
__export__.res_partner_delivery_suning_004					True									中国邮政国内包裹/挂号信	B03												
__export__.res_partner_delivery_suning_005					True									D速快递	D02												
__export__.res_partner_delivery_suning_006					True									大田物流	D03												
__export__.res_partner_delivery_suning_007					True									FedEx(国外)	F02												
__export__.res_partner_delivery_suning_008					True									共速达	G04												
__export__.res_partner_delivery_suning_009					True									佳怡物流	J02												
__export__.res_partner_delivery_suning_010					True									京广速递	J03												
__export__.res_partner_delivery_suning_011					True									全晨快递	Q02												
__export__.res_partner_delivery_suning_012					True									全日通快递	Q04												
__export__.res_partner_delivery_suning_013					True									三态速递	S04												
__export__.res_partner_delivery_suning_014					True									UC优速物流	U03												
__export__.res_partner_delivery_suning_015					True									远成物流	Y06												
__export__.res_partner_delivery_suning_016					True									元智捷运	Y07												
__export__.res_partner_delivery_suning_017					True									运通速运	Y08												
__export__.res_partner_delivery_suning_018					True									越丰快递	Y09												
__export__.res_partner_delivery_suning_019					True									中铁物流	Z05												
__export__.res_partner_delivery_suning_020					True									飞康达物流	F01												
__export__.res_partner_delivery_suning_021					True									急先达	J04												
__export__.res_partner_delivery_suning_022					True									如风达快递	R01												
__export__.res_partner_delivery_suning_023					True									UPS	U02												
__export__.res_partner_delivery_suning_024					True									亚风快递	Y03												
__export__.res_partner_delivery_suning_025					True									其他	Q00												
__export__.res_partner_delivery_suning_026					True									当当	DD1												
__export__.res_partner_delivery_suning_027					True									中粮	ZL1												
__export__.res_partner_delivery_suning_028					True									威时沛运	W01												
__export__.res_partner_delivery_alibaba_001														汇通快运													
__export__.res_partner_delivery_alibaba_002														CCES快递													
__export__.res_partner_delivery_alibaba_003														苏粤货运													
__export__.res_partner_delivery_alibaba_004														贵平物流													
__export__.res_partner_delivery_alibaba_005														盛辉物流													
__export__.res_partner_delivery_alibaba_006														城市之星													
__export__.res_partner_delivery_alibaba_007														新时代通成													
__export__.res_partner_delivery_alibaba_008														港中能达													
__export__.res_partner_delivery_alibaba_009														卡行天下													
