id,name
yks.res_district_214,晋源区 
yks.res_district_215,清徐县 
yks.res_district_216,阳曲县 
yks.res_district_217,娄烦县 
yks.res_district_218,古交市 
yks.res_district_219,城区 
yks.res_district_220,矿区 
yks.res_district_221,南郊区 
yks.res_district_222,新荣区 
yks.res_district_223,阳高县 
yks.res_district_224,天镇县 
yks.res_district_225,广灵县 
yks.res_district_226,灵丘县 
yks.res_district_227,浑源县 
yks.res_district_228,左云县 
yks.res_district_229,大同县 
yks.res_district_230,城区 
yks.res_district_231,矿区 
yks.res_district_232,郊区 
yks.res_district_233,平定县 
yks.res_district_234,盂县 
yks.res_district_235,城区 
yks.res_district_236,郊区 
yks.res_district_237,长治县 
yks.res_district_238,襄垣县 
yks.res_district_239,屯留县 
yks.res_district_240,平顺县 
yks.res_district_241,黎城县 
yks.res_district_242,壶关县 
yks.res_district_243,长子县 
yks.res_district_244,武乡县 
yks.res_district_245,沁县 
yks.res_district_246,沁源县 
yks.res_district_247,潞城市 
yks.res_district_248,城区 
yks.res_district_249,沁水县 
yks.res_district_250,阳城县 
yks.res_district_251,陵川县 
yks.res_district_252,泽州县 
yks.res_district_253,高平市 
yks.res_district_254,朔城区 
yks.res_district_255,平鲁区 
yks.res_district_256,山阴县 
yks.res_district_257,应县 
yks.res_district_258,右玉县 
yks.res_district_259,怀仁县 
yks.res_district_260,榆次区 
yks.res_district_261,榆社县 
yks.res_district_262,左权县 
yks.res_district_263,和顺县 
yks.res_district_264,昔阳县 
yks.res_district_265,寿阳县 
yks.res_district_266,太谷县 
yks.res_district_267,祁县 
yks.res_district_268,平遥县 
yks.res_district_269,灵石县 
yks.res_district_270,介休市 
yks.res_district_271,盐湖区 
yks.res_district_272,临猗县 
yks.res_district_273,万荣县 
yks.res_district_274,闻喜县 
yks.res_district_275,稷山县 
yks.res_district_276,新绛县 
yks.res_district_277,绛县 
yks.res_district_278,垣曲县 
yks.res_district_279,夏县 
yks.res_district_280,平陆县 
yks.res_district_281,芮城县 
yks.res_district_282,永济市 
yks.res_district_283,河津市 
yks.res_district_284,忻府区 
yks.res_district_285,定襄县 
yks.res_district_286,五台县 
yks.res_district_287,代县 
yks.res_district_288,繁峙县 
yks.res_district_289,宁武县 
yks.res_district_290,静乐县 
yks.res_district_291,神池县 
yks.res_district_292,五寨县 
yks.res_district_293,岢岚县 
yks.res_district_294,河曲县 
yks.res_district_295,保德县 
yks.res_district_296,偏关县 
yks.res_district_297,原平市 
yks.res_district_298,尧都区 
yks.res_district_299,曲沃县 
yks.res_district_300,翼城县 
yks.res_district_301,襄汾县 
yks.res_district_302,洪洞县 
yks.res_district_303,古县 
yks.res_district_304,安泽县 
yks.res_district_305,浮山县 
yks.res_district_306,吉县 
yks.res_district_307,乡宁县 
yks.res_district_308,大宁县 
yks.res_district_309,隰县 
yks.res_district_310,永和县 
yks.res_district_311,蒲县 
yks.res_district_312,汾西县 
yks.res_district_313,侯马市 
yks.res_district_314,霍州市 
yks.res_district_315,离石区 
yks.res_district_316,文水县 
yks.res_district_317,交城县 
yks.res_district_318,兴县 
yks.res_district_319,临县 
yks.res_district_320,柳林县 
yks.res_district_321,石楼县 
yks.res_district_322,岚县 
yks.res_district_323,方山县 
yks.res_district_324,中阳县 
yks.res_district_325,交口县 
yks.res_district_326,孝义市 
yks.res_district_327,汾阳市 
yks.res_district_328,新城区 
yks.res_district_329,回民区 
yks.res_district_330,玉泉区 
yks.res_district_331,赛罕区 
yks.res_district_332,土默特左旗 
yks.res_district_333,托克托县 
yks.res_district_334,和林格尔县 
yks.res_district_335,清水河县 
yks.res_district_336,武川县 
yks.res_district_337,东河区 
yks.res_district_338,昆都仑区 
yks.res_district_339,青山区 
yks.res_district_340,石拐区 
yks.res_district_341,白云矿区 
yks.res_district_342,九原区 
yks.res_district_343,土默特右旗 
yks.res_district_344,固阳县 
yks.res_district_345,达尔罕茂明安联合旗 
yks.res_district_346,海勃湾区 
yks.res_district_347,海南区 
yks.res_district_348,乌达区 
yks.res_district_349,红山区 
yks.res_district_350,元宝山区 
yks.res_district_351,松山区 
yks.res_district_352,阿鲁科尔沁旗 
yks.res_district_353,巴林左旗 
yks.res_district_354,巴林右旗 
yks.res_district_355,林西县 
yks.res_district_356,克什克腾旗 
yks.res_district_357,翁牛特旗 
yks.res_district_358,喀喇沁旗 
yks.res_district_359,宁城县 
yks.res_district_360,敖汉旗 
yks.res_district_361,科尔沁区 
yks.res_district_362,科尔沁左翼中旗 
yks.res_district_363,科尔沁左翼后旗 
yks.res_district_364,开鲁县 
yks.res_district_365,库伦旗 
yks.res_district_366,奈曼旗 
yks.res_district_367,扎鲁特旗 
yks.res_district_368,霍林郭勒市 
yks.res_district_369,东胜区 
yks.res_district_370,达拉特旗 
yks.res_district_371,准格尔旗 
yks.res_district_372,鄂托克前旗 
yks.res_district_373,鄂托克旗 
yks.res_district_374,杭锦旗 
yks.res_district_375,乌审旗 
yks.res_district_376,伊金霍洛旗 
yks.res_district_377,海拉尔区 
yks.res_district_378,阿荣旗 
yks.res_district_379,莫力达瓦达斡尔族自治旗 
yks.res_district_380,鄂伦春自治旗 
yks.res_district_381,鄂温克族自治旗 
yks.res_district_382,陈巴尔虎旗 
yks.res_district_383,新巴尔虎左旗 
yks.res_district_384,新巴尔虎右旗 
yks.res_district_385,满洲里市 
yks.res_district_386,牙克石市 
yks.res_district_387,扎兰屯市 
yks.res_district_388,额尔古纳市 
yks.res_district_389,根河市 
yks.res_district_390,临河区 
yks.res_district_391,五原县 
yks.res_district_392,磴口县 
yks.res_district_393,乌拉特前旗 
yks.res_district_394,乌拉特中旗 
yks.res_district_395,乌拉特后旗 
yks.res_district_396,杭锦后旗 
yks.res_district_397,集宁区 
yks.res_district_398,卓资县 
yks.res_district_399,化德县 
yks.res_district_400,商都县 
yks.res_district_401,兴和县 
yks.res_district_402,凉城县 
yks.res_district_403,察哈尔右翼前旗 
yks.res_district_404,察哈尔右翼中旗 
yks.res_district_405,察哈尔右翼后旗 
yks.res_district_406,四子王旗 
yks.res_district_407,丰镇市 
yks.res_district_408,乌兰浩特市 
yks.res_district_409,阿尔山市 
yks.res_district_410,科尔沁右翼前旗 
yks.res_district_411,科尔沁右翼中旗 
yks.res_district_412,扎赉特旗 
yks.res_district_413,突泉县 
yks.res_district_414,二连浩特市 
yks.res_district_415,锡林浩特市 
yks.res_district_416,阿巴嘎旗 
yks.res_district_417,苏尼特左旗 
yks.res_district_418,苏尼特右旗 
yks.res_district_419,东乌珠穆沁旗 
yks.res_district_420,西乌珠穆沁旗 
yks.res_district_421,太仆寺旗 
yks.res_district_422,镶黄旗 
yks.res_district_423,正镶白旗 
yks.res_district_424,正蓝旗 
yks.res_district_425,多伦县 
yks.res_district_426,阿拉善左旗 
yks.res_district_427,阿拉善右旗 
yks.res_district_428,额济纳旗 
yks.res_district_429,和平区 
yks.res_district_430,沈河区 
yks.res_district_431,大东区 
yks.res_district_432,皇姑区 
yks.res_district_433,铁西区 
yks.res_district_434,苏家屯区 
yks.res_district_435,东陵区 
yks.res_district_436,新城子区 
yks.res_district_437,于洪区 
yks.res_district_438,辽中县 
yks.res_district_439,康平县 
yks.res_district_440,法库县 
yks.res_district_441,新民市 
yks.res_district_442,中山区 
yks.res_district_443,西岗区 
yks.res_district_444,沙河口区 
yks.res_district_445,甘井子区 
yks.res_district_446,旅顺口区 
yks.res_district_447,金州区 
yks.res_district_448,长海县 
yks.res_district_449,瓦房店市 
yks.res_district_450,普兰店市 
yks.res_district_451,庄河市 
yks.res_district_452,铁东区 
yks.res_district_453,铁西区 
yks.res_district_454,立山区 
yks.res_district_455,千山区 
